,V1,V2
X178076_54,1.999999995,2
X178077_58,1.956592864,1.943800178
X178077_60,1.999999997,2
X178081_48,1.554461942,1.483870968
X178081_66,1.999999458,1.99999392
X178082_8,1.991839009,1.968880245
X178084_47,1.999999981,1.999999993
X178084_56,1.999999999,2
X178088_21,1.974108139,1.941836735
X178093_41,1.999935304,1.994788588
X178096_45,1.998092007,1.999992116
X178105_65,1.999998227,NA
X178109_33,1.999921294,1.999999998
X178109_61,1.999973709,1.999999919
X178109_62,1.409660107,1.868852459
X178122_21,1.890318071,NA
X178122_61,1.95683813,NA
X178122_63,1.930941007,NA
X178122_65,1.95683813,NA
X178127_37,1.999992632,1.999991616
X178128_29,1.999999999,1.99999331
X178134_62,1.796611398,1.652173913
X178140_49,1.885426406,1.5
X178143_27,1.999983159,2
X178144_11,1.883970842,NA
X178151_7,NA,1.959296469
X178151_8,NA,1.997163645
X178151_9,NA,1.959296469
X178151_12,NA,1.982779275
X178151_50,NA,1.982779275
X178153_12,NA,1.999223903
X178156_14,1.730725916,1.737704918
X178156_44,1.948525889,1.996889088
X178156_66,1.948525889,1.996889088
X178157_23,1.99504718,1.988139648
X178157_44,1.943204311,1.943800178
X178157_62,1.789704851,1.754237288
X178166_66,1.99977341,1.999884038
X178173_54,1.916479825,1.959296469
X178176_32,1.999343623,1.999998336
X178176_33,1.999437518,1.999998336
X178176_58,1.858829625,1.999587571
X178178_7,1.999893686,NA
X178178_14,1.999813951,NA
X178178_18,1.999062351,NA
X178179_35,1.648295074,1.943800178
X178179_63,2,1.999997084
X178181_48,1.94145084,1.807127883
X178181_60,1.996468307,1.930316742
X178181_63,1.996468307,1.930316742
X178185_13,1.976133448,NA
X178185_22,1.976133448,NA
X178185_57,1.739683473,NA
X178193_26,1.999999998,2
X178195_17,1.839242759,1
X178199_36,1.843302071,1
X178199_37,1.843302071,1
X178200_63,1.953684597,1.754237288
X178204_16,1.999999992,2
X178210_32,1.999809539,1.999575078
X178211_11,1.9763595,1.973907226
X178211_17,1.9763595,1.973907226
X178211_59,1.894418795,1.5
X178211_62,1.241935484,1.997712469
X178211_63,1.999999998,1.999999906
X178213_26,1.990722859,1.881355932
X178218_36,1.884763303,NA
X178223_23,1.999378149,NA
X178228_15,1.996512845,1.943800178
X178233_8,1.992342419,1.994788588
X178233_11,1.999313054,1.999973923
X178233_56,1.432868175,1.966400106
X178234_19,1.995610899,1.868852459
X178239_64,1.999713425,1.998900189
X178245_16,1.999952869,NA
X178253_12,1.999999997,1.982779275
X178254_17,NA,1.999997748
X178254_19,NA,1.986560042
X178254_26,NA,1.999999962
X178258_11,1.948525889,1
X178262_48,1.996797417,1.993155994
X178262_56,1.999999946,2
X178264_15,1.917447983,1.771324864
X178264_34,1.661391076,1.951740637
X178264_52,1.999999458,1.999994497
X178264_64,1.661391076,1.517241379
X178267_20,1.838151499,1.985259063
X178267_48,1.876383428,1.868852459
X178269_21,1.997948501,NA
X178270_49,1.909721774,1.943800178
X178270_52,1.880909574,1.5
X178270_55,1.998092007,1.754237288
X178274_44,1.953956175,1.993155994
X178275_9,1.99999158,1.999999993
X178276_33,1.981295929,NA
X178284_7,1.998494959,1
X178284_30,1.99720958,2
X178288_6,1.885426406,1
X178288_30,1.935021668,1.943800178
X178294_24,1,1.868852459
X178297_49,1.996078328,NA
X178300_12,1.267857143,1.999884038
X178300_43,1.718385012,1
X178300_44,1.726047234,1.994996216
X178300_48,1.718385012,1.625
X178300_54,1.997936869,1.625
X178301_19,1.999986045,1.825791855
X178301_56,1,1.999988321
X178301_60,1.999999983,2
X178301_65,1,1.999988321
X178302_23,1.978285533,1
X178303_14,1.999999999,1.999999993
X178303_15,1.999999999,1.999999993
X178303_51,1.43907563,1.973907226
X178307_27,1.992604978,NA
X178307_31,1.999989526,NA
X178315_37,1.995611275,1.5
X178316_14,1.567772891,1.652173913
X178316_59,1.999973563,2
X178323_12,1.99999771,1.998617372
X178323_43,1.948525889,1.968880245
X178324_34,1.554461942,1.999032198
X178326_48,1.99976898,NA
X178326_60,1.99561167,NA
X178326_61,1.99561167,NA
X178326_62,1.99561167,NA
X178327_37,1.979240297,1.973907226
X178327_59,1.953026774,1.943800178
X178327_62,1.999999562,2
X178333_27,1.97213028,NA
X178341_44,1.977452127,1.992909113
X178344_23,1.999996346,2
X178348_6,1.535548505,1.99974615
X178348_14,1.99998637,1.483870968
X178348_20,1.999997957,1.99974615
X178348_41,1.535548505,1.99974615
X178350_67,1.985266234,1.999999962
X178354_11,1.981237072,NA
X178361_57,1.627363389,1.788961039
X178366_32,1.994005644,1.737704918
X178367_11,1.635600249,1.555555556
X178367_20,2,2
X178373_31,1.885426406,1.978551394
X178373_66,1.999999979,1.999999993
X178375_19,1.724547264,1.5
X178376_36,1.999998188,NA
X178381_22,1.880909574,1
X178382_10,1.885426406,1
X178388_44,1.654787708,1
X178388_49,1.91360024,1.483870968
X178397_50,1.999998691,NA
X178402_30,1.668106852,1.868852459
X178402_45,1.999938132,1.993155994
X178411_29,1.999921294,1.999994497
X178412_8,1.535548505,1.517241379
X178421_10,1.733830992,1.999895474
X178421_20,2,2
X178421_49,1.999999999,2
X178421_52,1.81769607,1.868852459
X178421_63,1.999996003,1.99974615
X178423_54,1.869213522,1.881355932
X178424_18,1.365853659,1.881355932
X178436_6,1.976732003,1.994788588
X178436_43,1.999840054,1.996062048
X178437_24,1.999999809,2
X178438_34,1.91360024,1.997163645
X178438_46,1.91360024,1.997163645
X178446_13,1.909721774,1
X178446_52,1.541717824,1.868852459
X178451_31,1.999973768,NA
X178451_39,2,NA
X178457_38,1.999983477,2
X178470_15,1.730725916,1.5
X178470_42,1.961288065,1
X178470_43,1.999999322,2
X178472_44,2,NA
X178482_60,1.964154952,1.868852459
X178487_34,1.958972507,1.989867485
X178487_40,1.970966049,1.972979961
X178489_12,1.947681171,1.973907226
X178489_25,2,1.999999973
X178492_60,1.997077642,1.999999993
X178492_61,1,1.935537649
X178494_64,1.238095238,1.973907226
X178505_20,2,2
X178505_28,1.985015323,1.973907226
X178505_29,1.985015323,1.973907226
X178508_6,1.99785349,1.99999331
X178508_39,1.78860604,1
X178519_37,1.999997423,1.999958189
X178536_22,1.730725916,1.868852459
X178536_44,1.730725916,1.868852459
X178541_39,1.898887141,1.973907226
X178543_37,1.627363389,NA
X178543_43,1.635600249,NA
X178543_63,1.512121212,NA
X178544_5,1.783043745,1.985259063
X178544_15,1.971451681,1.998617372
X178544_35,1.989229856,1.868852459
X178550_10,2,1.999999993
X178550_31,2,NA
X178550_36,1.999999875,1.999567779
X178550_60,1.993085079,NA
X178553_36,1.956616181,1.788961039
X178565_31,1.288461538,1.999754133
X178565_59,1.999996003,1.999997748
X178568_54,1.99561167,1.999996045
X178570_32,1.995137952,1.998617372
X178570_42,1.945737832,1.99974615
X178571_29,1.943862438,1.935537649
X178571_60,1.943862438,1.935537649
X178575_62,2,1.999999999
X178581_65,1.548256092,NA
X178581_68,1.548256092,NA
X178584_18,1.99785349,1.999840597
X178584_51,1.997077642,1.999840597
X178588_20,1,1.989867485
X178590_20,1.964891789,1.576923077
X178590_24,1.789704851,1.999959125
X178590_29,1.997063058,1.825791855
X178601_54,1.956685308,1.999998336
X178608_16,1.999992632,1.999999998
X178608_44,1.999999992,1.999999993
X178608_45,1.999999999,2
X178608_63,1.909721774,1.906204906
X178617_26,1.596228202,1.998378491
X178619_6,1.688944157,1.99974615
X178620_37,1.999999995,1.999999993
X178620_38,1.99999997,1.999999993
X178620_47,1.535548505,1.754237288
X178621_31,1.223880597,1.906204906
X178624_44,1.994005644,1.999748501
X178634_6,2,2
X178642_31,1.999983159,1.999999998
X178642_33,1.999973442,1.999999993
X178645_39,1.986175776,1.952821462
X178655_31,1.999940842,1.999918044
X178660_35,1,1.951740637
X178660_39,1,1.951740637
X178666_37,1.956616181,NA
X178666_47,1.999990766,NA
X178666_49,1.937476261,NA
X178668_40,1.953684597,1.998617372
X178669_51,1.970966049,1
X178670_54,1.999999418,2
X178670_55,1.999999418,2
X178674_17,1.999998456,1.997560837
X178682_32,1,1.935537649
X178683_29,1.661391076,1.982779275
X178689_10,1.874404423,1.943800178
X178692_10,2,2
X178696_14,1.998603993,NA
X178702_17,NA,1.999999691
X178702_45,NA,1.994728732
X178712_58,1.736981111,1
X178719_9,1.998780816,NA
X178720_8,1.999999069,1.999351396
X178726_52,1.973317311,1.935537649
X178727_18,1.970179071,1.99804572
X178727_39,1.999998188,1.999988321
X178732_9,1.769389633,1.935537649
X178741_7,1.999997815,NA
X178749_41,1.999997815,NA
X178749_54,1.999979707,NA
X178752_36,1.973317311,1
X178752_56,1.465733591,1.992909113
X178752_59,1.465733591,1.982779275
X178752_63,1.465733591,1.982779275
X178753_37,1.961288065,1.868852459
X178753_56,1.961288065,1.868852459
X178753_57,1.961288065,1.868852459
X178756_13,1.554461942,1.996062048
X178756_65,1.938259416,1.978551394
X178765_37,1.916479825,1
X178770_13,1.999538873,1.99974615
X178770_22,1.48787062,1.868852459
X178772_57,1.85379035,NA
X178776_53,1.782864186,1
X178785_63,1.880909574,1.943800178
X178792_5,1.938259416,1.999754133
X178795_17,1.999370952,1.999999235
X178797_57,2,1.999840597
X178800_36,1.997722886,1.999575078
X178800_41,1.84758425,1
X178804_58,1.654787708,1.988139648
X178806_8,1.538778312,NA
X178806_26,2,NA
X178808_34,1.99977341,1.999999998
X178808_36,1.999999979,2
X178808_49,1.999122643,1.998617372
X178810_37,1.883036936,1.992626205
X178810_62,1.999677817,1.999983056
X178810_64,2,2
X178811_6,1.648295074,1.788961039
X178811_9,1.648295074,1.788961039
X178814_66,1.465733591,1.825791855
X178818_58,1.520723753,NA
X178819_16,1.999999928,2
X178819_25,1.999999875,2
X178819_27,1.999999875,2
X178819_53,1.999854791,1.99999331
X178827_48,1.986175776,1.998617372
X178827_63,1.415231299,1.999983788
X178831_38,1.999961293,1.993155994
X178833_9,1.987672275,1.999976822
X178833_32,1.975928495,1.988139648
X178835_12,1.896018021,NA
X178835_51,1.999967263,NA
X178835_59,1.901991334,NA
X178839_8,1.999923841,1.993155994
X178841_55,1.97708276,1
X178850_15,1.999999698,NA
X178850_30,1.985904084,NA
X178850_58,1.999999887,NA
X178850_63,1.999999953,NA
X178852_15,1.970966049,1.999999691
X178854_5,1.950713059,1.973907226
X178854_50,1.998788737,1.994728732
X178856_52,1.999999458,2
X178859_20,1.999378149,1.999068967
X178859_32,1.999378149,1.999068967
X178860_56,1.97708276,1.999958189
X178862_14,1.931740853,1.998617372
X178871_18,1.77609178,1.943800178
X178871_24,1.912132644,1.754237288
X178872_48,1.909721774,NA
X178876_27,NA,1.999965887
X178876_45,NA,1.999905688
X178877_10,1.999965435,2
X178877_23,1,1.959296469
X178877_46,1.99999998,1.999999396
X178877_62,1.999999998,2
X178878_60,1.993401507,1.985259063
X178881_49,1.762759412,NA
X178882_12,1.999520301,NA
X178884_12,1.999985159,NA
X178887_33,1.227272727,1.868852459
X178891_6,1.999998913,NA
X178892_34,1.962199524,1.881355932
X178893_50,1.999977323,1.999999819
X178896_38,1.999999959,NA
X178898_31,1.999999968,NA
X178903_16,1.588874402,1.994728732
X178909_26,1.884763303,NA
X178912_48,1.95683813,NA
X178912_62,1.983525362,NA
X178914_13,1.999484996,1.999999998
X178914_21,1.984182157,1.999999968
X178914_49,1.596228202,1.535714286
X178914_59,1.596228202,1.788961039
X178915_68,1.999125025,1.771324864
X178917_6,1.999999885,2
X178925_21,1.641911443,1.985259063
X178929_49,1.925037019,1.935537649
X178933_8,1.913788743,NA
X178933_9,1.999991804,NA
X178933_10,1.999991804,NA
X178933_32,1.913788743,NA
X178933_45,1.999757986,NA
X178936_35,1.999989231,1.999895474
X178936_63,1,1.737704918
X178939_43,2,2
X178948_8,1.948525889,1.652173913
X178953_18,1.97978811,1.993155994
X178957_60,2,2
X178958_56,1.238095238,1.951740637
X178963_13,1.999380926,NA
X178963_60,1.999380926,NA
X178964_14,1.999625234,1.999601493
X178970_63,1.999933014,NA
X178971_12,1.959173479,1.999293133
X178971_51,1.674936637,1.986560042
X178971_59,1.983978621,1.994788588
X178972_17,1.999984157,NA
X178972_18,1.999982474,NA
X178972_68,1.997538479,NA
X178973_27,1.997692014,NA
X178980_23,1.394736842,NA
X178980_33,1.636842105,NA
X178980_63,1.624375624,NA
X179001_34,1.769389633,1.535714286
X179011_60,2,2
X179014_25,1.961288065,1.935537649
X179014_63,1.948525889,1
X179016_16,1.805919275,1.906204906
X179029_27,1.901991334,1.807127883
X179029_49,1.901991334,1.807127883
X179038_29,1.999964175,1.999999962
X179039_16,1.988348088,NA
X179039_41,1.983978621,NA
X179039_60,1.703424254,NA
X179043_7,1.999999999,NA
X179043_30,1.99991366,NA
X179043_34,1.99991366,NA
X179044_39,2,2
X179050_48,1.839242759,NA
X179050_55,1.999997793,NA
X179063_58,1.999999997,1.999996045
X179064_58,1.999964175,1.999999998
X179065_64,1.999999999,2
X179073_41,1.999973709,1.483870968
X179074_31,1.996512845,1.555555556
X179074_62,1.999940842,1.966400106
X179075_38,1.999192697,NA
X179075_58,1.956685308,NA
X179077_23,1.988348088,1
X179077_40,2,1.997712469
X179080_18,1.989358947,1.999999968
X179083_28,NA,1.998487228
X179083_34,1.999650965,1.999567779
X179083_40,1.999038889,1.998487228
X179083_66,1.784068279,1
X179089_8,1.999973443,1.982779275
X179093_19,1.999998576,2
X179107_47,1.986948413,1
X179108_48,1.969061235,NA
X179118_21,1.838151499,1
X179120_7,1.913788743,1.788961039
X179120_17,1.868414398,1.951740637
X179120_36,1.326086957,1.788961039
X179123_64,NA,2
X179123_65,NA,1.941836735
X179124_65,1.999996985,1.999938191
X179131_49,1.999975609,1.935537649
X179136_24,1,1.996062048
X179136_49,1.998994286,1.988139648
X179139_25,1,1.988139648
X179139_45,1.879589179,1.943800178
X179140_23,1.998586835,1.999938191
X179143_30,1.999999981,1.999999975
X179143_63,2,2
X179145_9,1.879589179,NA
X179151_23,1,1.893829401
X179152_19,2,1.999999396
X179152_21,1.952223337,1.99804572
X179152_56,NA,1.825791855
X179152_58,2,1.918400258
X179160_11,1.999999885,1.994996216
X179160_52,1.999999885,1.994996216
X179162_38,1.999652932,1.990692114
X179162_64,1.956592059,1.771324864
X179168_9,1.925042818,NA
X179172_8,1.674936637,NA
X179172_61,1.674936637,NA
X179182_32,1.995611275,1
X179192_33,1.596228202,NA
X179201_34,2,1.999938191
X179204_38,1.999999987,1.999999998
X179211_5,1.223880597,1.754237288
X179211_47,1.999999824,1.999997084
X179213_7,1.989845924,1.517241379
X179213_8,1.989845924,1.517241379
X179216_9,1.718385012,NA
X179216_18,1.999965435,NA
X179226_8,1.895059945,1
X179226_15,1.611442611,1.737704918
X179230_16,1.999999995,1.999938191
X179230_20,1.970179071,1.999351396
X179230_22,1.970179071,1.999351396
X179230_44,1.990544183,1.754237288
X179235_7,1.999995708,1.999999891
X179235_17,1.999999815,1.999999993
X179235_21,1.999999815,1.999999971
X179236_30,1.941487163,NA
X179236_36,1.999999971,NA
X179248_31,1.99999998,2
X179257_11,1.554461942,1.996062048
X179259_6,1,1.972979961
X179259_10,1,1.972979961
X179261_6,2,2
X179261_15,2,2
X179261_36,1.853644044,1
X179261_65,1.999999774,1.999999975
X179266_21,1.703424254,1.825791855
X179266_42,1.99997567,2
X179266_43,1.99997567,2
X179280_43,1.998269624,1.999965887
X179288_40,1.925042818,1.978551394
X179293_16,1,1.943800178
X179296_30,1.97978811,1.993155994
X179296_34,1.995611275,1
X179298_8,1.730725916,1.989867485
X179298_53,1.880909574,1.996335048
X179318_14,1.999144517,1.844897959
X179318_16,1.635600249,1.6
X179318_32,1.48787062,1.844897959
X179318_37,1.48787062,1.941836735
X179318_51,1.999439511,1.999999959
X179324_13,1.817664038,1
X179330_49,1.652649971,1.825791855
X179335_31,1,1.993155994
X179343_51,1.999999385,1.999999971
X179349_13,1.991035583,NA
X179349_27,1.986317469,NA
X179349_63,1.986317469,NA
X179349_66,1.340909091,NA
X179359_9,1.97978811,1.999938191
X179359_35,1.541717824,1.985259063
X179360_11,1.541717824,1.996889088
X179360_15,1.404233171,1.993155994
X179364_52,1.999976576,NA
X179365_29,1.999918861,1.999983788
X179365_30,1.999918861,1.999983788
X179367_36,1.981242862,NA
X179367_47,1.999900016,NA
X179370_42,1.998603993,1.999850824
X179372_29,1.960899479,NA
X179374_46,1.935021668,NA
X179381_64,1.696124558,NA
X179387_12,1.999998624,1.999997801
X179395_30,1.996853097,1.982779275
X179400_13,1.999999824,2
X179400_65,1.999996985,2
X179414_6,1.3125,1.997163645
X179414_40,1.3125,1.959296469
X179414_44,1.956685308,1.555555556
X179419_20,1.99999747,2
X179419_23,1.999995889,2
X179419_66,1.90017168,1.5
X179423_23,1.420952381,1.973907226
X179425_56,1.885426406,1
X179427_20,1.916479825,1.989867485
X179429_51,1.999959738,1.999999235
X179438_50,1.995012037,1.999748501
X179438_64,1.48026999,1.893829401
X179442_52,1.730725916,1
X179443_17,1.999996138,1.999965887
X179449_30,1.992342419,1.99999392
X179457_23,NA,1.941836735
X179457_45,NA,1.992682512
X179457_68,NA,1.6
X179458_9,2,2
X179473_5,1.864020638,1
X179473_17,1.999999995,1.999999919
X179482_31,1.91360024,1
X179482_40,1.978285533,1.999587571
X179486_7,1.999999943,NA
X179489_9,1.999999998,1.999988321
X179489_31,2,1.999999993
X179489_52,1.889930644,1.996335048
X179489_56,1.999999875,2
X179497_5,1.999998227,2
X179497_22,1.992673929,1.999983056
X179497_47,1.999998227,1.999999996
X179500_25,1.978285533,1.930316742
X179500_62,1.9994773,1.999996867
X179502_52,1.535548505,1.754237288
X179509_58,NA,1.986560042
X179511_38,1.890008203,NA
X179515_43,1.3,1.943800178
X179520_16,1.999144517,1.99804572
X179520_66,1.627363389,1.555555556
X179520_68,1.627363389,1.555555556
X179540_54,1.999999992,2
X179540_65,1.999999992,2
X179542_28,1.999458433,1.999999993
X179542_34,1.998311899,1.999999993
X179542_62,1,1.906204906
X179542_64,1.999725577,1.999973923
X179546_33,1.999909577,1
X179547_14,1.998311899,1.999976822
X179548_26,1.503785673,1.893829401
X179555_15,1.54802102,1.576923077
X179560_61,1.999999652,NA
X179581_12,1.612341772,NA
X179583_60,1.921261474,1.576923077
X179586_51,1.945737832,1.999997748
X179586_59,1.398945124,1.99804572
X179591_30,1.535548505,1.737704918
X179593_56,1.999774745,1.999983788
X179594_64,1.91360024,NA
X179596_21,1.979398277,1
X179596_60,1.997063058,1
X179596_66,1.997465535,1
X179600_19,1.733830992,1.555555556
X179601_43,1.869213522,NA
X179601_47,1.999155786,NA
X179601_58,1.869213522,NA
X179612_65,1.558052434,1.984273821
X179617_60,1.843302071,1.864361702
X179618_25,1.999998913,1.999587571
X179621_49,1.945420495,NA
X179637_58,1.99999997,2
X179638_16,2,1.999999998
X179642_28,1.995626451,1.997163645
X179642_41,1.965811986,1.535714286
X179651_68,1.999993449,1.997712469
X179652_12,1.999999999,NA
X179654_24,1.999999953,2
X179654_57,2,1.999938191
X179655_11,1.739683473,NA
X179659_8,1.959173479,NA
X179661_16,1.99998077,1.99804572
X179661_45,1.756202478,1.555555556
X179661_46,1.999957877,1.999918044
X179664_13,1.561044547,NA
X179664_24,1.959173479,NA
X179669_38,2,2
X179669_46,1.654787708,1.893829401
X179678_64,2,2
X179679_26,1.994437088,1.881355932
X179681_60,1.227272727,1.737704918
X179691_60,1.674936637,NA
X179692_16,1.999999999,2
X179692_25,1.998116798,1.999032198
X179692_33,1.999583404,1.999601493
X179692_41,1.999987974,1.999999973
X179693_35,1.99995311,1.997712469
X179693_53,1.978285533,1.754237288
X179694_54,1.803581036,NA
X179696_37,1.661391076,NA
X179701_28,1.736981111,1
X179702_8,1.937476261,1.884057971
X179702_13,1.933394391,1.884057971
X179706_44,1.960899479,NA
X179706_51,1.960899479,NA
X179709_29,1.415231299,1.5
X179711_33,1.999999997,2
X179714_8,1.999811913,NA
X179714_42,1.996764944,NA
X179714_48,1.901991334,NA
X179717_12,1.997077642,1
X179717_21,2,1.999999975
X179717_59,2,1.999999975
X179719_61,1.85438612,NA
X179723_33,1.985554456,1
X179729_14,2,2
X179732_45,1.999898077,1.906204906
X179736_25,1.415231299,1.973907226
X179738_17,1.999999996,NA
X179738_19,1.999999996,NA
X179742_32,1.935021668,1.985259063
X179749_25,1.838151499,1
X179751_5,1.800105644,NA
X179752_64,1.668106852,1.754237288
X179752_66,1.74331259,1.754237288
X179752_67,1.74331259,1.754237288
X179759_10,1.823590332,1
X179759_33,1,1.989867485
X179760_57,1.994046337,NA
X179760_58,2,NA
X179767_17,1.999952762,NA
X179767_19,1.992418758,NA
X179767_42,1.999968049,NA
X179767_50,1.970033857,NA
X179772_10,1.998702026,1.999999673
X179772_17,1.98472184,NA
X179772_47,1.998329557,1.999999673
X179772_57,1.995626451,NA
X179777_32,1.999999249,1.998900189
X179777_34,1.905815945,1.807127883
X179777_68,1.999999952,1.999587571
X179780_53,1.999999999,2
X179783_7,1.999991804,NA
X179796_13,1.920229954,1.972515856
X179796_31,1.757907555,1.972515856
X179796_37,1.999998381,1.999574589
X179796_43,1.999998381,1.999574589
X179811_28,1.879589179,1.998378491
X179811_59,1.254237288,1.992909113
X179819_30,1.928420119,1
X179819_52,1.999999949,2
X179822_53,1.998269624,NA
X179830_25,1.999996811,1.999999993
X179830_29,1.986497706,1.868852459
X179830_48,1.25,1.935537649
X179833_9,1.999133064,NA
X179833_22,1.999475276,NA
X179840_11,1.969061235,1.906204906
X179840_17,1.535548505,1.788961039
X179844_6,1.885426406,1.999895474
X179851_56,1.961695143,1.999399992
X179851_59,1.999995072,2
X179854_11,1.995611275,1.999948113
X179854_18,1.999999867,2
X179857_37,1.85970074,NA
X179857_38,1.85970074,NA
X179857_41,1.85970074,NA
X179859_55,2,NA
X179859_56,1.999973768,NA
X179866_52,1.688944157,1
X179868_64,1.648295074,1.893829401
X179874_61,1.636842105,NA
X179878_54,1.996853097,1.999999999
X179880_29,1.999999999,2
X179880_64,1.999915009,NA
X179889_41,1.94145084,NA
X179889_42,1.998177794,NA
X179895_37,1.999999575,1.999999959
X179895_51,1.947681171,1.844897959
X179895_54,1.944592579,1.844897959
X179896_54,1.999989749,1.999850824
X179915_9,1.54802102,1.963109354
X179928_59,1.783043745,1.992682512
X179947_40,1.999843503,1.999999993
X179949_59,1.999921294,1.999999745
X179951_28,1.841549541,1.625
X179955_20,1.974108139,2
X179955_63,1.999994467,2
X179957_6,1.99999998,2
X179957_61,1.794333968,1.993155994
X179960_40,1.987305274,1.999999994
X179960_49,1.981260166,1.994996216
X179970_8,1.999976576,NA
X179970_29,1.999999774,NA
X179970_52,1.568181818,NA
X179970_53,1.925312742,NA
X179971_11,1.889921958,1
X179986_53,1.689176688,NA
X179986_62,1.99999986,NA
X179989_55,1.789704851,1.973907226
X179992_62,1.979671132,1.999999028
X179995_21,1.950713059,1.5
X179995_27,1.975928495,1.990692114
X179997_57,1.999644416,NA
X179997_58,1.99955538,NA
X179998_39,1.724547264,1.906204906
X180000_23,1.999811229,1.884057971
X180009_19,1.999999997,1.999999782
X180009_63,1.965762284,1.999932962
X180016_13,1.9994773,1.990692114
X180016_44,1.999809528,1.996062048
X180033_18,1.948308458,1.881355932
X180033_19,1.948308458,1.881355932
X180033_37,1.994890941,1.994728732
X180033_51,1.718816068,1.999032198
X180042_29,1.409660107,1.483870968
X180054_53,1.992893779,1.999999962
X180056_44,1.999975808,NA
X180058_33,1.999992536,1.999998035
X180059_61,1.998698424,1.966400106
X180062_7,1.679731243,NA
X180062_16,1.800352879,NA
X180062_43,1.999860843,NA
X180062_49,1.999813951,NA
X180062_64,1.999944406,NA
X180064_26,1.648295074,1.999567779
X180086_21,1.99084879,1.999998592
X180086_26,1.581683521,1.959296469
X180086_27,1.581683521,1.959296469
X180093_7,1.999981925,1.988139648
X180093_13,1.999998861,1.999999691
X180093_19,1.800105644,1.999999028
X180103_39,1.398945124,1.993155994
X180107_32,1.774550976,NA
X180107_54,1.988240525,NA
X180107_55,1.85438612,NA
X180118_18,1.823590332,NA
X180119_41,1.995614043,1.998900189
X180122_7,1.762759412,1.99804572
X180122_45,1.869213522,1.807127883
X180123_31,1.661391076,NA
X180126_41,1.951266251,1.988139648
X180127_45,1.998177794,NA
X180128_43,1.724547264,1.999567779
X180128_59,1.999999707,1.999999959
X180136_20,1.919590935,NA
X180136_22,1.999970065,NA
X180136_27,1.995729454,NA
X180136_35,1.999999995,NA
X180138_5,NA,1.903805497
X180138_39,NA,1.999970643
X180141_46,NA,1.992682512
X180141_63,NA,1.844897959
X180144_54,1.961288065,1.999351396
X180145_45,1.999999967,1.943800178
X180145_51,1.889921958,1.999976822
X180145_54,1.9998449,1.943800178
X180147_26,1.998311899,1.982779275
X180147_33,1.999921294,1.999996867
X180150_18,1.932458636,1
X180150_44,1.936096469,1.951740637
X180165_31,1.96355207,1.483870968
X180168_32,1.972047807,1
X180172_13,1,1.771324864
X180172_24,1.998702026,1.999999993
X180172_25,1.999998936,1.99999962
X180172_63,1,1.893829401
X180183_50,1.681881939,1.5
X180193_7,2,2
X180199_10,2,NA
X180199_11,2,NA
X180199_61,1.995686237,NA
X180203_22,1.999912217,1.893829401
X180203_60,1.999912217,1.893829401
X180205_47,1.999857612,1.999959125
X180207_48,1.999999921,1.999988135
X180209_7,1.794333968,1.754237288
X180209_24,1.794333968,1.754237288
X180209_25,1,1.881355932
X180211_51,1.999989526,2
X180214_24,1.999652932,NA
X180214_27,1.981237072,NA
X180214_53,1.975928495,NA
X180214_62,1.999999984,NA
X180217_28,1.928420119,1.978962223
X180217_40,1.223880597,1.930316742
X180217_68,1.969061235,1.999997748
X180219_26,1.794333968,1.999905688
X180219_52,1.999774745,1.999032198
X180226_37,1.718385012,NA
X180227_16,1.762759412,NA
X180227_30,1.681881939,NA
X180227_64,1.999973563,NA
X180230_7,1.985904084,NA
X180230_18,1.999879961,NA
X180230_40,1.810610514,NA
X180248_8,2,NA
X180259_14,1.627363389,NA
X180265_52,1.848467182,1.576923077
X180267_42,2,1.999999973
X180268_7,1.999997957,1.999992116
X180268_62,1.78860604,1.978551394
X180269_17,1.999999981,2
X180269_58,1.943204311,1.535714286
X180277_38,1.409660107,1.935537649
X180279_41,1.978285533,1.996335048
X180280_5,1.853644044,1.978551394
X180280_19,1.853644044,1.978551394
X180280_29,1.853644044,1.978551394
X180286_10,1.864020638,1.844897959
X180286_63,1.864020638,1.999765366
X180288_16,1.99988974,1.998900189
X180288_33,1.956592864,1.999587571
X180289_28,1.976732003,1.935537649
X180293_33,1.936461654,1.992682512
X180294_16,1.998400613,NA
X180294_31,1.967916465,NA
X180295_42,1.998788737,1.999998962
X180297_59,1.999992075,1.999995504
X180297_64,1.635600249,1.966400106
X180297_65,1.997063058,1.989867485
X180301_32,1.993252988,1.993155994
X180302_53,1.998473583,NA
X180302_54,1.61931239,NA
X180304_7,1.928420119,1.754237288
X180304_31,1.999809528,1.973907226
X180311_17,1.999988865,1.999999691
X180311_60,1.420952381,1.754237288
X180313_15,1.998473583,1.517241379
X180313_24,1.999708697,1.99999962
X180314_52,1,1.930316742
X180320_38,1.841549541,NA
X180320_64,1.999995792,NA
X180322_6,2,1.999999968
X180322_20,2,1.999999968
X180322_57,2,1.999999968
X180323_7,1.999811229,2
X180323_22,1.999852314,2
X180323_25,1.661471861,1.844897959
X180323_62,1.999882914,2
X180329_37,1.999979051,2
X180331_19,1.956616181,1.966400106
X180331_35,1.956616181,1.966400106
X180331_41,NA,1.999617026
X180333_36,1.999998977,2
X180333_44,1.999998977,2
X180340_47,1.889930644,1
X180343_47,1.829548859,1.771324864
X180358_21,1.951266251,NA
X180367_37,1.999992201,NA
X180376_19,1.736981111,1
