,JPA_SP,JPA_AM,JTR_TC-II,JTR_GI,JTR_NI
X180914_23,1.289230769,1.12202381,1.311594203,1.45,1
X180914_24,1.153846154,1.12202381,1.311594203,1.607142857,1.749145591
X180914_50,1.289230769,1.12202381,1.337662338,1.45,1.47012987
X180920_46,1.611713191,1.67781373,NA,NA,NA
X180922_6,1.321524064,1.116388374,1,1,1.47012987
X180926_18,1.201991465,1.188123609,NA,NA,NA
X180926_47,1.371713066,1.188123609,NA,NA,NA
X180929_16,1.534504711,1.724419265,NA,NA,NA
X180929_35,1.534504711,1.751458675,NA,NA,NA
X180931_34,1.779645191,1.807312496,1.337662338,1.815934066,1.749145591
X180935_11,1,1.111801242,1,1,1.337662338
X180935_30,1.886622074,1.883339968,1.853588517,1.505494505,1.181818182
X180935_55,1.289230769,1.307018797,1,1.285714286,1.181818182
X180935_59,1,1.057142857,1.181818182,1.285714286,1.47012987
X180939_60,1.872330367,1.833114841,1.543948805,1.845201238,1.905882353
X180941_49,1.125,1.093516925,NA,NA,NA
X180942_37,1.567277167,1.487268141,NA,NA,NA
X180944_15,1.84248459,1.881968219,1.859683794,1.764705882,1.47012987
X180944_44,1.88667615,1.756445343,1.634763787,1.880718954,1.909774436
X180955_48,1.117647059,1.083733699,NA,NA,NA
X180957_16,1.111111111,1.121080627,NA,NA,NA
X180959_8,1.371713066,1.147212147,1,1.181818182,1
X180959_40,1.512632934,1.56666349,1.634763787,1.181818182,1.337662338
X180959_41,1.105263158,1,1.311594203,1.337662338,1
X180961_49,1.382173382,1.435891112,NA,NA,NA
X180966_64,1.624148607,1.341564413,1.368421053,1.45,1
X180988_31,1.651218063,1.871713304,1.822134387,1.845201238,1.624148607
X180988_68,1.651218063,1.574720655,1.710615471,1.624148607,1.624148607
X180991_12,1.22459893,1.411851565,1.2,1.2,1
X180996_16,1.88667615,1.748684512,NA,NA,NA
X180997_8,1.382173382,1.298016833,NA,NA,NA
X181001_27,1,1.180316051,1.222222222,1,1
X181004_53,1.125,1.091381669,NA,NA,NA
X181004_62,1.851501669,1.857663211,NA,NA,NA
X181010_46,1.730523627,1.701399833,NA,NA,NA
X181011_10,1.673957621,1.25496457,1,1.815934066,1.337662338
X181011_34,1.166666667,1.307018797,1.905882353,1.67032967,1.909774436
X181012_49,1.779645191,1.816540478,1.886034256,1.880718954,1.885030759
X181012_60,1.111111111,1.147212147,1.311594203,1.405228758,1.181818182
X181018_36,1.538222952,1.403557707,NA,NA,NA
X181021_37,NA,NA,1.553921569,1.575757576,1.368421053
X181022_5,1.409047783,1.426281546,1,1,1
X181024_30,1.111111111,1.425274057,1.311594203,1.2,1.673957621
X181025_11,1.371713066,1.587275198,1.166666667,1,1.181818182
X181025_44,1.371713066,1.587275198,1.166666667,1,1.181818182
X181026_40,1.45444262,1.319597593,NA,NA,NA
X181026_45,1.567277167,1.514032508,NA,NA,NA
X181030_23,1.543948805,1.432958976,NA,NA,NA
X181033_11,1.166666667,1.060606061,NA,NA,NA
X181033_21,1.822134387,1.883692696,NA,NA,NA
X181033_26,1.903622693,1.87467845,NA,NA,NA
X181033_44,1.166666667,1.058823529,NA,NA,NA
X181034_17,1.886034256,1.701399833,NA,NA,NA
X181034_27,1,1.111801242,NA,NA,NA
X181043_10,1,1.131697893,NA,NA,NA
X181043_35,1.872330367,1.79463997,NA,NA,NA
X181045_35,1,1,1.311594203,1.553921569,1
X181049_25,1.45444262,1.275918526,NA,NA,NA
X181052_38,1.742636449,1.661836537,1.436758893,1.45,1.67254902
X181053_46,1.84029304,1.735073706,NA,NA,NA
X181055_64,1.790760685,1.652626411,1.859683794,1.853588517,1.624148607
X181067_58,1.305322129,1.398602213,1.436758893,1.337662338,1.790299278
X181070_36,1.47012987,1.663301445,1.673957621,1.575757576,1.80861244
X181074_40,1.153846154,1.242666459,1.337662338,1,1.581544771
X181074_48,1.289230769,1.402477835,1.181818182,1.405228758,1.181818182
X181080_39,1.26984127,1.147904727,1,1,1
X181082_19,1.742636449,1.530758883,1.673957621,1.869130869,1.222222222
X181082_63,1.212698413,1.43927381,1,1,1
X181084_43,1,1.226480229,1.311594203,1,1
X181089_30,1.305322129,1.054054054,NA,NA,NA
X181100_18,1.445573393,1.321730442,1.436758893,1,1
X181103_15,1.702558398,1.765277517,1.634763787,1.727472527,1.47012987
X181103_17,1.750250278,1.765277517,1.634763787,1.727472527,1.47012987
X181103_21,1.730523627,1.74289892,1.886034256,1.876373626,1.903622693
X181109_35,1.538222952,1.307018797,NA,NA,NA
X181109_56,1.359605911,1.111801242,NA,NA,NA
X181112_61,1,1.098101266,1,1,1.337662338
X181115_35,1,1.078787879,1.47012987,1.50877193,1.553921569
X181115_39,1.212698413,1.255393404,1.749145591,1.833333333,1.67254902
X181116_63,1.237903226,1.17255874,1.50877193,1.285714286,1.553921569
X181119_9,1.289230769,1.298621768,NA,NA,NA
X181119_19,1.846524357,1.821893847,NA,NA,NA
X181119_21,1.45444262,1.298621768,NA,NA,NA
X181119_35,1.846524357,1.821893847,NA,NA,NA
X181119_39,1.846524357,1.821893847,NA,NA,NA
X181124_26,1.212698413,1.04,1.337662338,1.45,1.181818182
X181124_30,1,1.07726655,1,1.45,1.368421053
X181124_58,1,1.149966526,1.337662338,1.45,1.337662338
X181126_16,1.111111111,1.082017544,1.2,1.181818182,1
X181126_20,1.111111111,1.082017544,1.2,1.181818182,1
X181126_29,1.22459893,1.235315876,1,1,1
X181126_34,1.596197267,1.335986117,1.883384933,1.673957621,1.917647059
X181126_46,1.371713066,1.404446067,1.845201238,1.790299278,1.624148607
X181126_52,1.651218063,1.489138577,1,1.553921569,1
X181126_61,1.371713066,1.404446067,1.833333333,1.790299278,1.624148607
X181128_10,NA,NA,1.673957621,1.67254902,1.337662338
X181128_31,NA,NA,1.47012987,1.405228758,1
X181128_32,NA,NA,1.47012987,1.405228758,1
X181128_45,NA,NA,1.181818182,1.764705882,1
X181128_54,NA,NA,1,1,1.181818182
X181130_35,1.409047783,1.155795785,1.337662338,1,1
X181130_45,1.487752286,1.603776562,1,1,1
X181135_33,1.201991465,1.324041326,1,1,1
X181145_68,1.749145591,1.629688535,NA,NA,NA
X181150_20,1.790635452,1.785446009,NA,NA,NA
X181150_29,1,1.492427998,NA,NA,NA
X181157_21,1.117647059,1.155795785,NA,NA,NA
X181157_47,1.22459893,1.390385495,NA,NA,NA
X181157_51,1.117647059,1.260105806,NA,NA,NA
X181158_66,1.212698413,1.611551348,NA,NA,NA
X181167_36,1.465749936,1.383706413,1.772727273,1.581544771,1.337662338
X181172_16,1.22459893,1.255393404,1.50877193,1.815934066,1.337662338
X181179_44,1,1.098101266,1.181818182,1,1.2
X181179_46,1.620816802,1.632483306,1.903622693,1.789210789,1.913312693
X181180_6,1.117647059,1.046511628,1.166666667,1,1.337662338
X181192_33,1,1.080370292,1,1.405228758,1.337662338
X181197_13,1.511818687,1.597114278,1.50877193,1.25,1.2
X181198_43,1.125,1.082017544,NA,NA,NA
X181198_44,1.125,1.082017544,NA,NA,NA
X181198_61,1,1.230814037,NA,NA,NA
X181216_30,1.906832298,1.879744254,NA,NA,NA
X181216_34,1.311594203,1,NA,NA,NA
X181221_59,1.699923606,1.426281546,1.311594203,1.222222222,1.2
X181229_25,1.647246941,1.76211905,1.717234262,1.880718954,1.790299278
X181232_17,1.837535014,1.84593947,1.909774436,1.50877193,1.853588517
X181232_21,1.29065908,1.348315896,1.181818182,1,1
X181233_8,1.901656315,1.883555386,1.859683794,1.880718954,1.749145591
X181233_51,1,1.093516925,1.166666667,1.405228758,1.581544771
X181233_65,1.47012987,1.137735611,1,1,1
X181244_10,1.389508531,1.244863983,1.311594203,1,1
X181244_24,1.465749936,1.280814734,1.166666667,1,1
X181252_18,1,1.115013169,NA,NA,NA
X181252_61,1.674916388,1.759400733,NA,NA,NA
X181267_59,1.22459893,1.23149319,NA,NA,NA
X181267_62,1.22459893,1.242666459,NA,NA,NA
X181269_25,1.133333333,1.432958976,NA,NA,NA
X181269_50,1.166666667,1.246791145,NA,NA,NA
X181270_5,1.558176643,1.551145301,1.710615471,1.337662338,1.2
X181270_45,1.321524064,1.210651228,1.634763787,1.47012987,1.717234262
X181270_52,1.558176643,1.551145301,1.710615471,1.337662338,1.2
X181273_15,1.676125582,1.311786315,1.543948805,1.727472527,1.845201238
X181273_25,1.724512679,1.576986485,1.634763787,1.45,1.717234262
X181281_10,1.875222816,1.882680806,1.749145591,1.876373626,1.815934066
X181281_39,1.212698413,1.162095372,1.337662338,1,1.25
X181287_44,1.305322129,1.078787879,1.181818182,1.285714286,1.2
X181291_47,1.166666667,1.216528416,NA,NA,NA
X181291_54,1.382173382,1.23149319,NA,NA,NA
X181293_6,1.201991465,1.080370292,1.166666667,1,1.368421053
X181295_26,1.111111111,1.19171825,1.337662338,1.25,1
X181309_16,1.538222952,1.044444444,1.311594203,1.405228758,1
X181310_65,1,1.037735849,1.311594203,1.2,1
X181312_24,1.892907946,1.87516987,1.822134387,1.727472527,1.80861244
X181321_6,1.620816802,1.473184205,1.337662338,1.869130869,1.505494505
X181321_36,1.872330367,1.797909668,NA,NA,NA
X181329_25,1.389508531,1.453185422,1.181818182,1,1
X181333_15,1.45444262,1.285325123,NA,NA,NA
X181333_20,1.487752286,1.611551348,NA,NA,NA
X181333_40,1.430589544,1.318807508,NA,NA,NA
X181334_5,1.289230769,1.111801242,NA,NA,NA
X181334_40,1.777011494,1.727117819,NA,NA,NA
X181342_52,1.512632934,1.270067463,1,1,1.45
X181350_58,1.620816802,1.428925461,NA,NA,NA
X181359_60,1.558176643,1.833583921,1.772727273,1.876373626,1.80861244
X181363_50,1.750250278,1.540184779,1.368421053,1.553921569,1.47012987
X181369_19,1,1.045454545,1.181818182,1.222222222,1.80861244
X181369_36,1.45444262,1.558036614,1.903622693,1.833333333,1.909774436
X181371_45,1.846524357,1.869837976,NA,NA,NA
X181388_30,1.305322129,1.226480229,NA,NA,NA
X181395_21,1.634763787,1.816482129,1.764705882,1.856565657,1.853588517
X181395_22,1.436758893,1.115013169,1.222222222,1.333333333,1
X181395_33,1.906832298,1.66533642,1.908496732,1.856565657,1.903622693
X181398_30,1,1.143955276,NA,NA,NA
X181398_57,1.611713191,1.341139533,NA,NA,NA
X181406_6,1.885030759,1.883172465,NA,NA,NA
X181406_24,1.47012987,1.055555556,NA,NA,NA
X181420_50,1.50877193,1.632758108,NA,NA,NA
X181422_32,NA,NA,1,1.25,1
X181425_20,1.47012987,1.578817734,1.2,1,1.505494505
X181434_25,1,1.149966526,1.166666667,1.337662338,1.181818182
X181434_37,1.742636449,1.545234288,1.710615471,1.909774436,1.47012987
X181434_60,1,1.149966526,1.166666667,1.337662338,1.181818182
X181438_40,1.581544771,1.655996635,NA,NA,NA
X181438_55,1.853588517,1.860388734,NA,NA,NA
X181446_13,NA,NA,1.181818182,1.505494505,1.181818182
X181446_52,NA,NA,1.903622693,1.869130869,1.673957621
X181447_41,1.811204482,1.851236061,1.50877193,1,1.581544771
X181447_62,1.305322129,1.292618512,1.845201238,1.368421053,1.80861244
X181447_68,1.811204482,1.851236061,1.50877193,1,1.581544771
X181448_8,1.88698896,1.87979245,1.710615471,1.581544771,1.368421053
X181448_25,1.409047783,1.522972297,1.543948805,1.581544771,1
X181461_35,1.846524357,1.883008309,1.859683794,1.883384933,1.909774436
X181462_24,NA,NA,1.845201238,1.915084915,1.908496732
X181462_29,NA,NA,1.2,1,1
X181469_38,1,1.207577519,1.543948805,1.50877193,1.47012987
X181470_62,1.873943419,1.861924888,1.772727273,1.764705882,1.853588517
X181471_58,1.436758893,1.300583428,1,1,1
X181472_39,1.389508531,1.411991872,1.822134387,1.717234262,1.673957621
X181476_16,1.212698413,1.318377293,1.749145591,1.405228758,1.47012987
X181476_21,1.651218063,1.670102838,1.80861244,1.764705882,1.885030759
X181481_24,1.133333333,1.125859334,NA,NA,NA
X181481_31,1.133333333,1.125859334,NA,NA,NA
X181488_48,1.389508531,1.607084238,1.311594203,1.67254902,1.673957621
X181489_53,1.861545756,1.882526882,1.581544771,1.727472527,1.833333333
X181489_66,1.861545756,1.882526882,1.581544771,1.727472527,1.833333333
X181490_7,1.237903226,1.303615575,1.710615471,1.790299278,1
X181506_59,1.909774436,1.853818509,1.673957621,1.919191919,1.905882353
X181507_60,1.790635452,1.768683343,1.772727273,1.67032967,1.727472527
X181519_13,1.642002442,1.764859019,1.311594203,1,1.47012987
X181519_14,1.642002442,1.764859019,1.311594203,1,1.47012987
X181519_43,1.142857143,1.198120774,1.311594203,1.2,1.337662338
X181519_46,1.382173382,1.103157895,1.166666667,1,1
X181519_65,1.382173382,1.56441396,1.543948805,1.50877193,1.337662338
X181521_31,1.676529161,1.644351259,1.166666667,1,1
X181525_5,1.289230769,1.134649209,NA,NA,NA
X181525_27,1,1.362672029,NA,NA,NA
X181525_39,1.289230769,1.216528416,NA,NA,NA
X181525_43,1.864214047,1.658325308,NA,NA,NA
X181525_54,1,1.328251446,NA,NA,NA
X181526_60,1.512632934,1.607084238,1,1.368421053,1
X181532_38,NA,NA,1.47012987,1.222222222,1.624148607
X181540_24,1.511818687,1.66533642,NA,NA,NA
X181540_42,1.252873563,1.598328053,NA,NA,NA
X181540_62,1.511818687,1.261589386,NA,NA,NA
X181555_19,1,1.129943503,NA,NA,NA
X181555_54,1.624148607,1.514318493,NA,NA,NA
X181556_48,1.409047783,1.403557707,1.436758893,1.50877193,1.581544771
X181563_10,1.583843159,1.275337267,1.634763787,1.505494505,1.50877193
X181563_42,1,1,1.166666667,1,1.368421053
X181563_51,1.790739711,1.591778409,1.581544771,1.505494505,1.790299278
X181563_55,1.647246941,1.751413218,1.772727273,1.67032967,1.624148607
X181563_59,1.237903226,1.411851565,1.436758893,1.285714286,1.368421053
X181564_18,1.730523627,1.678357754,1.436758893,1.717234262,1.717234262
X181564_41,1.538222952,1.567369341,1.634763787,1.883384933,1.790299278
X181564_44,1.675606641,1.61505824,1.634763787,1.50877193,1.624148607
X181565_51,1.111111111,1.07726655,1.543948805,1.47012987,1.749145591
X181566_9,1.321524064,1.582984431,1.543948805,1.67254902,1.913312693
X181566_62,1.873943419,1.882691264,1.886034256,1.908496732,1.624148607
X181569_36,NA,NA,1.2,1,1
X181571_63,1.801944972,1.777412876,1.911538462,1.815934066,1.876373626
X181572_17,1.772727273,1.59344115,NA,NA,NA
X181572_23,1.772727273,1.59344115,NA,NA,NA
X181577_15,1.651218063,1.69457534,1.80861244,1.67254902,1.717234262
X181577_30,1.779645191,1.852335686,1.749145591,1.553921569,1.673957621
X181577_44,1.212698413,1,1.337662338,1.405228758,1.673957621
X181577_64,1.875222816,1.763952866,1.749145591,1.833333333,1.790299278
X181583_29,1.111111111,1.042553191,1.311594203,1.505494505,1.337662338
X181583_44,1.837535014,1.74289892,1.634763787,1.505494505,1.909774436
X181583_57,1.389508531,1.397294836,1.166666667,1,1.181818182
X181586_16,1.311594203,1.715530646,NA,NA,NA
X181590_28,1.790760685,1.62371134,1.886034256,1.749145591,1.853588517
X181590_29,1.573257468,1.324041326,1.543948805,1.581544771,1.581544771
X181590_37,1.573257468,1.740504612,1.436758893,1.853588517,1.47012987
X181593_16,1.181818182,1.44761721,NA,NA,NA
X181593_19,1.181818182,1.44761721,NA,NA,NA
X181596_10,1.534504711,1.591460764,1.311594203,1.727472527,1.845201238
X181596_14,1.88685171,1.835476646,1.822134387,1.876373626,1.883384933
X181596_19,1.111111111,1.15888331,1.710615471,1,1
X181596_27,1.305322129,1.121080627,1.311594203,1.607142857,1.790299278
X181596_31,1.389508531,1.748684512,1.772727273,1.45,1.624148607
X181598_31,1.430589544,1.432958976,NA,NA,NA
X181600_39,1.651218063,1.470102028,1.166666667,1,1.845201238
X181600_56,1.212698413,1.203372755,1,1,1
X181604_18,1,1.221298149,1,1,1
X181605_13,1.133333333,1.128873,1,1,1.337662338
X181608_8,1.133333333,1.285325123,NA,NA,NA
X181608_53,1,1.242666459,NA,NA,NA
X181608_68,1.407692308,1.402477835,NA,NA,NA
X181611_33,1.599331104,1.44761721,1.634763787,1.575757576,1.368421053
X181612_9,1.409047783,1.43927381,1.181818182,1,1.2
X181612_28,1.855528722,1.88155035,1.749145591,1.845201238,1.624148607
X181612_40,1.676125582,1.582984431,1.673957621,1.905882353,1.717234262
X181614_36,1.389508531,1.114175888,1,1,1
X181615_65,1.117647059,1,1.166666667,1,1.47012987
X181615_68,1.487752286,1.465572436,1.436758893,1.505494505,1.673957621
X181617_14,1.22459893,1.328251446,1.166666667,1,1
X181618_18,1.738394649,1.591778409,1.710615471,1.815934066,1.853588517
X181620_22,1.534504711,1.687434663,NA,NA,NA
X181629_27,1.465749936,1.341139533,NA,NA,NA
X181629_55,1.389508531,1.20980487,NA,NA,NA
X181636_64,1.389508531,1.458190744,NA,NA,NA
X181647_66,1.790760685,1.561318613,1.901656315,1.815934066,1.853588517
X181650_8,1.480976801,1.291891117,NA,NA,NA
X181651_45,1.674916388,1.732302201,1.634763787,1.764705882,1.749145591
X181657_27,1.389508531,1.370995923,1.166666667,1.2,1
X181662_30,1.22459893,1.466553788,1.166666667,1,1
X181662_39,1.534504711,1.576986485,1.166666667,1.815934066,1.368421053
X181672_69,1,1.217375566,NA,NA,NA
X181675_55,1.252873563,1.4700373,NA,NA,NA
X181685_49,1.125,1.103157895,1.47012987,1.553921569,1.45
X181694_29,1.573257468,1.607084238,1.543948805,1.607142857,1.880718954
X181696_36,1.405228758,1.867606593,NA,NA,NA
X181700_43,1.702558398,1.12202381,NA,NA,NA
X181702_31,1.811204482,1.763952866,1.885030759,1.915084915,1.913312693
X181704_39,1.719772404,1.490907405,1.772727273,1.581544771,1.47012987
X181719_39,1.389508531,1.560995621,1.859683794,1.67254902,1.885030759
X181736_27,1.111111111,1.089341693,NA,NA,NA
X181748_14,1,1,1.368421053,1.222222222,1
X181748_36,1.430589544,1.713452483,1.913312693,1.908496732,1.222222222
X181748_62,1.750250278,1.638758081,1.905882353,1.67254902,1
X181754_12,1.409047783,1.419524506,1,1,1
X181754_45,1.339516129,1.348828854,1.543948805,1,1
X181755_10,1,1.12202381,NA,NA,NA
X181758_11,1,1.188801072,NA,NA,NA
X181758_18,1.867643468,1.880211561,NA,NA,NA
X181758_25,1,1.266468846,NA,NA,NA
X181758_28,1,1.226281546,NA,NA,NA
X181758_49,1,1.140966576,NA,NA,NA
X181758_66,1,1.311786315,NA,NA,NA
X181763_31,1,1.268564622,1.25,1,1
X181765_17,1.558176643,1.143955276,1.543948805,1.505494505,1
X181765_46,1.487752286,1.143955276,1.543948805,1.505494505,1
X181769_15,1,1.137735611,NA,NA,NA
X181770_21,1,1,1.47012987,1,1.181818182
X181773_40,1.620816802,1.678526582,1.634763787,1.764705882,1.337662338
X181781_9,1.777011494,1.885758686,NA,NA,NA
X181782_30,1.88667615,1.861924888,1.624148607,1.876373626,1.815934066
X181789_19,1.750250278,1.634983362,1.901656315,1.908496732,1.673957621
X181792_54,1.642002442,1.570085154,1.47012987,1.815934066,1.50877193
X181792_58,1.804542125,1.843920145,1.859683794,1.876373626,1.50877193
X181798_33,1.581544771,1.254597308,1.717234262,1.505494505,1.45
X181798_51,1.80861244,1.410905791,1.624148607,1,1.45
X181799_8,1,1.277525235,1,1,1.405228758
X181806_26,1.583843159,1.556915405,NA,NA,NA
X181806_60,1.583843159,1.420881813,NA,NA,NA
X181807_39,1.201991465,1.553170247,1.311594203,1.47012987,1.405228758
X181808_48,1.886034256,1.514553927,NA,NA,NA
X181808_64,1.886034256,1.514553927,NA,NA,NA
X181814_21,1.436758893,1.291891117,1,1,1.2
X181814_23,1.368421053,1.649399027,1.405228758,1.25,1.717234262
X181814_40,1.222222222,1.421822669,1.222222222,1,1.2
X181820_43,1,1.311786315,1,1.2,1.337662338
X181826_6,1.558176643,1.669687474,1.886034256,1.903622693,1.853588517
X181827_17,1.511818687,1.647102541,NA,NA,NA
X181827_57,1.237903226,1.397294836,NA,NA,NA
X181828_9,1.611713191,1.688183629,1.624148607,1.45,1.624148607
X181828_10,1.611713191,1.688183629,1.624148607,1.45,1.624148607
X181828_16,1.611713191,1.707095254,1.624148607,1.45,1.624148607
X181828_56,1.359605911,1.335037919,1,1,1.2
X181829_66,1.867643468,1.874237903,1.886034256,1.923809524,1.47012987
X181829_68,1.901656315,1.875066103,1.853588517,1.915084915,1.47012987
X181831_9,1,1,1.2,1.2,1.581544771
X181831_21,1.831593928,1.831249163,1.50877193,1.624148607,1.47012987
X181831_27,1,1.188123609,1,1.368421053,1
X181831_31,1.430589544,1.530758883,1.905882353,1.717234262,1.673957621
X181834_31,1.212698413,1.123571365,1.166666667,1.222222222,1
X181835_56,1.445573393,1.370995923,1.166666667,1.581544771,1.717234262
X181845_18,1.26984127,1.198120774,NA,NA,NA
X181851_5,1.702558398,1.44761721,NA,NA,NA
X181851_28,1.125,1,1,1.575757576,1
X181851_59,1,1.052631579,NA,NA,NA
X181851_63,1,1.103157895,1,1,1.181818182
X181851_66,1.125,1,1,1.575757576,1.2
X181853_10,1.790635452,1.368463481,NA,NA,NA
X181856_60,1.534504711,1.595426174,1.311594203,1.717234262,1.80861244
X181857_36,1.62778568,1.702752074,1.543948805,1.911538462,1.50877193
X181857_46,1.88667615,1.858106587,1.906832298,1.607142857,1.790299278
X181857_60,1.445573393,1.255393404,1.47012987,1.45,1.624148607
X181865_39,1.815544609,1.79463997,1.906832298,1.745454545,1.908496732
X181865_55,1.359605911,1.211958969,1.311594203,1,1
X181872_17,1.371713066,1.282382121,1.47012987,1.553921569,1.47012987
X181879_26,1.543948805,1.564150879,1.405228758,1,1
X181879_68,1.436758893,1.489138577,1.880718954,1.727472527,1.815934066
X181887_17,1.512632934,1.670102838,1.47012987,1.553921569,1.845201238
X181890_34,1.212698413,1.324041326,NA,NA,NA
X181894_22,1.117647059,1.080370292,1.311594203,1.405228758,1
X181894_34,1.117647059,1.080370292,1.311594203,1.405228758,1
X181899_25,1,1.075802838,1.181818182,1.337662338,1.337662338
X181906_21,1.892907946,1.868615823,1.822134387,1.883384933,1.673957621
X181907_18,1.153846154,1.147904727,NA,NA,NA
X181907_37,1.289230769,1.193349107,NA,NA,NA
X181909_11,1.900383142,1.877639707,NA,NA,NA
X181910_18,1.913312693,1.875066103,NA,NA,NA
X181910_21,1.913312693,1.875066103,NA,NA,NA
X181913_9,1,1.118414918,NA,NA,NA
X181923_61,1.738394649,1.341872491,NA,NA,NA
X181924_18,NA,NA,1.885030759,1.876373626,1.885030759
X181924_20,NA,NA,1.859683794,1,1.181818182
X181933_20,1.846524357,1.846032976,1.749145591,1.815934066,1.885030759
X181933_45,1.815544609,1.838107538,1.901656315,1.727472527,1.80861244
X181935_51,1.465749936,1.816540478,1,1,1
X181935_54,1.742636449,1.87516987,1.634763787,1.405228758,1.181818182
X181956_19,1.567277167,1.411227661,NA,NA,NA
X181956_21,1.705982906,1.816482129,NA,NA,NA
X181956_23,1,1.173513986,NA,NA,NA
X181956_33,1.567277167,1.592712843,NA,NA,NA
X181956_40,1.84029304,1.816482129,NA,NA,NA
X181956_48,1.84029304,1.725774226,NA,NA,NA
X181957_20,1,1.484768396,1.166666667,1.553921569,1.405228758
X181957_23,1.804542125,1.873023224,1.901656315,1.67254902,1.917647059
X181958_19,1.311594203,1.060606061,NA,NA,NA
X181958_31,1.166666667,1.225987901,NA,NA,NA
X181958_65,1.822134387,1.560514486,NA,NA,NA
X181959_16,1.45444262,1.283682418,NA,NA,NA
X181963_20,NA,NA,1.50877193,1,1
X181963_26,NA,NA,1.50877193,1,1
X181966_58,1.409047783,1.287410184,1.311594203,1.2,1
X181967_24,1.89706258,1.880004509,NA,NA,NA
X181968_55,NA,NA,1.311594203,1,1.25
X181970_33,1.905882353,1.887600357,NA,NA,NA
X181970_51,1.368421053,1.527289879,NA,NA,NA
X181970_55,1.50877193,1.351428835,NA,NA,NA
X181984_32,1.371713066,1.398602213,1.311594203,1.47012987,1.337662338
X181988_18,1.389508531,1.152825711,1.47012987,1,1.285714286
X181988_19,1.389508531,1.152825711,1.47012987,1,1.285714286
X181988_57,1.111111111,1.377246651,1.337662338,1,1
X181995_39,1.705982906,1.401137054,1,1,1
X181995_44,1,1.055555556,1.2,1,1.745454545
X181997_44,1,1.093516925,1,1,1.337662338
X182001_5,1.573257468,1.820604992,NA,NA,NA
X182001_8,1.573257468,1.835476646,1.880718954,1.727472527,1.764705882
X182001_42,1,1.235315876,1.67254902,1,1.553921569
X182002_64,1,1.039215686,1.436758893,1,1.181818182
X182012_18,1.705982906,1.831930639,1.833333333,1.790299278,1.869130869
X182012_23,1.642002442,1.757566335,1.764705882,1.790299278,1.869130869
X182012_35,1,1.047619048,1.222222222,1.368421053,1
X182018_46,1.339516129,1.283682418,1.368421053,1.45,1
X182019_5,1.50877193,1.564826151,NA,NA,NA
X182019_10,1.505494505,1.677933178,NA,NA,NA
X182019_48,1.181818182,1.399427851,NA,NA,NA
X182019_50,1.337662338,1.350307287,NA,NA,NA
X182022_16,1.289230769,1.666922582,1.50877193,1,1.25
X182022_31,1.407692308,1.29221137,1,1,1
X182022_33,1.407692308,1.365182486,1,1,1
X182024_49,1.133333333,1.3776337,NA,NA,NA
X182024_68,1.359605911,1.814330427,NA,NA,NA
X182025_15,1,1,1.181818182,1,1.47012987
X182027_51,1.29065908,1.386033347,1.543948805,1.80861244,1.47012987
X182037_19,1.487752286,1.137735611,NA,NA,NA
X182042_45,1.117647059,1.203132903,1,1,1.624148607
X182042_46,1.851501669,1.814330427,1.710615471,1.880718954,1.790299278
X182044_7,1.45444262,1.380950145,1.543948805,1,1
X182044_8,1.45444262,1.380950145,1.543948805,1,1
X182054_42,1.859683794,1.800536553,1.815934066,1.727472527,1.908496732
X182069_14,1.62778568,1.470102028,1.181818182,1.505494505,1
X182070_35,1.153846154,1.330022672,NA,NA,NA
X182077_15,1.538222952,1.457561796,NA,NA,NA
X182077_18,1.583843159,1.457561796,NA,NA,NA
X182079_14,1.212698413,1.162095372,NA,NA,NA
X182082_58,1,1.24866464,1.181818182,1,1.337662338
X182086_66,1.201991465,1.250847438,1,1,1.222222222
X182099_12,1.359605911,1.207577519,1.405228758,1.285714286,1
X182102_8,1.252873563,1.24866464,1.166666667,1,1
X182105_20,1.289230769,1.607644987,NA,NA,NA
X182105_24,1.407692308,1.100566101,NA,NA,NA
X182127_47,1.389508531,1.239995634,NA,NA,NA
X182135_50,1.766344661,1.777412876,NA,NA,NA
X182136_27,1.867643468,1.838036876,NA,NA,NA
X182136_29,1,1.108763693,NA,NA,NA
X182136_46,1,1.283682418,NA,NA,NA
X182139_35,1.321524064,1.114175888,1,1,1.337662338
X182151_54,1.567277167,1.525529992,1.181818182,1,1
X182151_59,1.142857143,1.503262642,1,1,1.47012987
X182155_19,1,1.184660819,1,1,1
X182161_52,1.201991465,1.07726655,1,1.25,1.222222222
X182164_34,1.846524357,1.886075332,1.822134387,1.883384933,1.883384933
X182165_30,1,1.043478261,1.47012987,1.764705882,1.285714286
X182185_47,1.321524064,1.348315896,1.311594203,1,1.47012987
X182188_30,1.487752286,1.470102028,1.634763787,1.505494505,1.50877193
X182188_55,1.88698896,1.844492236,1.80861244,1.67032967,1.624148607
X182191_37,1.822134387,1.526327839,1.337662338,1.25,1.80861244
X182202_7,NA,NA,1.222222222,1,1.45
X182214_25,1.201991465,1.184660819,1.166666667,1,1
X182219_6,1.105263158,1.040816327,1,1,1.581544771
X182219_9,1.105263158,1.040816327,1,1,1.581544771
X182219_56,1.201991465,1.155795785,1.311594203,1.2,1.853588517
X182220_9,1.430589544,1.506140084,1.624148607,1.745454545,1.607142857
X182222_55,1.105263158,1.181322782,1,1.405228758,1
X182229_11,1.543948805,1.384681788,NA,NA,NA
